Itemset: [1], Utility: 12496.00
Itemset: [210], Utility: 13382.00
Itemset: [230], Utility: 12895.00
Itemset: [37], Utility: 14120.00
Itemset: [1481], Utility: 14951.00
Itemset: [10], Utility: 11850.00
Itemset: [290], Utility: 15359.00
Itemset: [1544], Utility: 11667.00
Itemset: [100], Utility: 18986.00
Itemset: [70], Utility: 10375.00
Itemset: [220], Utility: 20756.00
Itemset: [60], Utility: 21466.00
Itemset: [51], Utility: 11383.00
Itemset: [87], Utility: 15431.00
Itemset: [34], Utility: 14654.00
Itemset: [247], Utility: 15905.00
Itemset: [30], Utility: 14466.00
Itemset: [1524], Utility: 10531.00
Itemset: [124], Utility: 11690.00
Itemset: [140], Utility: 17533.00
Itemset: [490], Utility: 16472.00
Itemset: [187], Utility: 10722.00
Itemset: [430], Utility: 18090.00
Itemset: [47], Utility: 24300.00
Itemset: [370], Utility: 10582.00
Itemset: [347], Utility: 12182.00
Itemset: [110], Utility: 21181.00
Itemset: [560], Utility: 11454.00
Itemset: [160], Utility: 18473.00
Itemset: [120], Utility: 21595.00
Itemset: [64], Utility: 12813.00
Itemset: [67], Utility: 17219.00
Itemset: [670], Utility: 15521.00
Itemset: [207], Utility: 12051.00
Itemset: [14], Utility: 15756.00
Itemset: [1511], Utility: 12347.00
Itemset: [1391], Utility: 10837.00
Itemset: [650], Utility: 13972.00
Itemset: [410], Utility: 14585.00
Itemset: [590], Utility: 19287.00
Itemset: [200], Utility: 21341.00
Itemset: [700], Utility: 19793.00
Itemset: [1464], Utility: 23860.00
Itemset: [324], Utility: 15584.00
Itemset: [1050], Utility: 10866.00
Itemset: [170], Utility: 27690.00
Itemset: [260], Utility: 17456.00
Itemset: [270], Utility: 20251.00
Itemset: [154], Utility: 17027.00
Itemset: [7], Utility: 23116.00
Itemset: [380], Utility: 13829.00
Itemset: [1021], Utility: 10954.00
Itemset: [174], Utility: 15646.00
Itemset: [621], Utility: 11910.00
Itemset: [981], Utility: 10921.00
Itemset: [74], Utility: 15607.00
Itemset: [31], Utility: 12531.00
Itemset: [157], Utility: 25958.00
Itemset: [557], Utility: 12536.00
Itemset: [850], Utility: 12887.00
Itemset: [201], Utility: 18445.00
Itemset: [710], Utility: 12349.00
Itemset: [20], Utility: 25320.00
Itemset: [1221], Utility: 14914.00
Itemset: [1280], Utility: 11076.00
Itemset: [80], Utility: 32657.00
Itemset: [397], Utility: 12338.00
Itemset: [280], Utility: 19198.00
Itemset: [690], Utility: 14744.00
Itemset: [1040], Utility: 11422.00
Itemset: [1491], Utility: 24965.00
Itemset: [24], Utility: 17344.00
Itemset: [307], Utility: 16280.00
Itemset: [1361], Utility: 16886.00
Itemset: [550], Utility: 23535.00
Itemset: [134], Utility: 23840.00
Itemset: [400], Utility: 16170.00
Itemset: [350], Utility: 17399.00
Itemset: [450], Utility: 29920.00
Itemset: [1494], Utility: 15899.00
Itemset: [434], Utility: 13286.00
